Bigram		Count	Probability
('Richard', 'W.')	 : 2	 : 0.0005331437711036076
('with', 'bringing')	 : 1	 : 0.00034995625546806647
('bringing', 'some')	 : 1	 : 0.0003566969859104691
('some', 'basic')	 : 1	 : 0.0003553028957186001
('basic', 'budgeting')	 : 1	 : 0.0003566969859104691
('budgeting', 'and')	 : 1	 : 0.0003566969859104691
('and', 'planning')	 : 1	 : 0.0003183192742320548
('planning', 'discipline')	 : 1	 : 0.0003564427018356799
('discipline', 'to')	 : 1	 : 0.0003566969859104691
('to', 'traditionally')	 : 1	 : 0.000319744204636291
('traditionally', 'free-wheeling')	 : 1	 : 0.0003566969859104691
('free-wheeling', 'Kidder')	 : 1	 : 0.0003566969859104691
('Kidder', '.')	 : 1	 : 0.00035650623885918
('.', 'And')	 : 7	 : 0.0012112036336109008
('And', ',')	 : 3	 : 0.0007125044531528322
(',', 'while')	 : 4	 : 0.000655307994757536
('while', 'the')	 : 2	 : 0.0005343783398646241
('the', 'mutinous')	 : 1	 : 0.0002842524161455372
('mutinous', 'Fed')	 : 1	 : 0.0003566969859104691
('Fed', 'member')	 : 1	 : 0.00035555555555555557
('member', 'has')	 : 1	 : 0.0003559352197899982
('has', "n't")	 : 9	 : 0.0017556179775280898
("n't", 'gone')	 : 1	 : 0.00035112359550561797
('gone', 'public')	 : 1	 : 0.0003566969859104691
('public', ',')	 : 1	 : 0.0003563156957063959
(',', 'some')	 : 3	 : 0.0005242463958060288
('some', 'Fed')	 : 1	 : 0.0003553028957186001
('Fed', 'governors')	 : 1	 : 0.00035555555555555557
('governors', ',')	 : 2	 : 0.0005348546978070957
(',', 'most')	 : 2	 : 0.00039318479685452164
('most', 'notably')	 : 2	 : 0.000533997864008544
('notably', 'Vice')	 : 1	 : 0.00035650623885918
('Vice', 'Chairman')	 : 3	 : 0.00071301247771836
('Chairman', 'Manuel')	 : 2	 : 0.0005337128624799857
('Manuel', 'Johnson')	 : 2	 : 0.0005348546978070957
('Johnson', ',')	 : 2	 : 0.0005345687811831789
(',', 'are')	 : 4	 : 0.000655307994757536
('are', 'known')	 : 1	 : 0.0003529204164460914
('known', 'to')	 : 1	 : 0.0003564427018356799
('to', 'have')	 : 9	 : 0.0015987210231814548
('have', 'disagreed')	 : 1	 : 0.00035310734463276836
('disagreed', 'with')	 : 1	 : 0.0003566969859104691
('with', 'the')	 : 25	 : 0.004549431321084864
('the', 'chairman')	 : 39	 : 0.005685048322910745
('chairman', "'s")	 : 10	 : 0.0017857142857142857
("'s", 'decision')	 : 10	 : 0.0018360874645301285
('decision', 'to')	 : 7	 : 0.0014227280810955006
('to', 'remain')	 : 7	 : 0.001278976818545164
('remain', 'silent')	 : 1	 : 0.0003553028957186001
('silent', '.')	 : 1	 : 0.0003566969859104691
('.', 'Robert')	 : 7	 : 0.0012112036336109008
('Robert', 'M.')	 : 4	 : 0.000885582713425434
('M.', 'Gintel')	 : 2	 : 0.0005331437711036076
('Gintel', ',')	 : 3	 : 0.00071301247771836
(',', 'senior')	 : 1	 : 0.0002621231979030144
('senior', 'partner')	 : 1	 : 0.0003563791874554526
('partner', 'of')	 : 1	 : 0.0003563156957063959
('of', 'a')	 : 25	 : 0.003973105134474328
('a', 'Greenwich')	 : 2	 : 0.0004848093083387201
('Greenwich', ',')	 : 2	 : 0.0005349500713266762
(',', 'Conn.')	 : 2	 : 0.00039318479685452164
('Conn.', ',')	 : 2	 : 0.0005349500713266762
(',', 'investment')	 : 2	 : 0.00039318479685452164
('investment', 'firm')	 : 2	 : 0.0005326704545454545
('firm', ',')	 : 1	 : 0.000354924578527063
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'he')	 : 21	 : 0.00373704773229149
('he', 'plans')	 : 3	 : 0.0007027406886858749
('plans', 'to')	 : 10	 : 0.0019562511115063133
('to', 'launch')	 : 1	 : 0.000319744204636291
('launch', 'a')	 : 1	 : 0.0003566969859104691
('a', 'proxy')	 : 4	 : 0.0008080155138978668
('proxy', 'fight')	 : 3	 : 0.00071301247771836
('fight', 'against')	 : 1	 : 0.00035650623885918
('against', 'the')	 : 1	 : 0.0003563791874554526
('the', 'board')	 : 144	 : 0.02060830017055145
('board', 'of')	 : 27	 : 0.004688546550569324
('of', 'Boston-based')	 : 1	 : 0.0003056234718826406
('Boston-based', 'Xtra')	 : 1	 : 0.0003566969859104691
('Xtra', 'Corp')	 : 1	 : 0.0003566333808844508
('Corp', '.')	 : 13	 : 0.0024915465385299874
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'flow')	 : 1	 : 0.0003473428273706148
('flow', 'of')	 : 1	 : 0.0003566333808844508
('of', 'Japanese')	 : 2	 : 0.0004584352078239609
('Japanese', 'funds')	 : 1	 : 0.0003563156957063959
('funds', 'has')	 : 1	 : 0.00035612535612535614
('has', 'set')	 : 2	 : 0.000526685393258427
('set', 'in')	 : 1	 : 0.0003562522265764161
('in', 'motion')	 : 1	 : 0.00033528918692372173
('motion', '``')	 : 1	 : 0.0003566333808844508
('``', 'a')	 : 6	 : 0.0011957635804578067
('a', 'process')	 : 1	 : 0.0003232062055591467
('process', 'whereby')	 : 1	 : 0.0003564427018356799
('whereby', 'these')	 : 1	 : 0.0003566969859104691
('these', 'economies')	 : 1	 : 0.0003563156957063959
('economies', 'will')	 : 1	 : 0.0003566333808844508
('will', 'be')	 : 24	 : 0.004370629370629371
('be', 'knitted')	 : 1	 : 0.00035001750087504374
('knitted', 'together')	 : 1	 : 0.0003566969859104691
('together', 'by')	 : 1	 : 0.0003566333808844508
('by', 'the')	 : 43	 : 0.0076641700052255705
('the', 'great')	 : 1	 : 0.0002842524161455372
('great', 'Japanese')	 : 1	 : 0.00035656979853806385
('Japanese', 'investment')	 : 1	 : 0.0003563156957063959
('investment', 'machine')	 : 1	 : 0.0003551136363636364
('machine', ',')	 : 1	 : 0.0003566969859104691
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'says')	 : 37	 : 0.006499059346673508
('says', 'Robert')	 : 2	 : 0.0005298481102084069
('Robert', 'Hormats')	 : 1	 : 0.00035423308537017357
('Hormats', ',')	 : 1	 : 0.0003566969859104691
(',', 'vice')	 : 16	 : 0.0022280471821756226
('vice', 'chairman')	 : 43	 : 0.007771105616389968
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'Goldman')	 : 3	 : 0.0006112469437652812
('Goldman', 'Sachs')	 : 2	 : 0.0005347593582887701
('Sachs', 'International')	 : 1	 : 0.00035650623885918
('International', 'Corp')	 : 2	 : 0.000533997864008544
('Corp', '.')	 : 13	 : 0.0024915465385299874
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'split')	 : 1	 : 0.0003473428273706148
('split', 'was')	 : 1	 : 0.00035650623885918
('was', 'aimed')	 : 1	 : 0.0003459609064175748
('aimed', 'at')	 : 3	 : 0.00071301247771836
('at', 'boosting')	 : 1	 : 0.0003505082369435682
('boosting', 'the')	 : 2	 : 0.0005349500713266762
('the', 'stock')	 : 8	 : 0.0012791358726549175
('stock', "'s")	 : 2	 : 0.0005313496280552603
("'s", 'liquidity')	 : 1	 : 0.00033383408446002337
('liquidity', ',')	 : 1	 : 0.0003566969859104691
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'Brendan')	 : 1	 : 0.00033973161202649905
('Brendan', 'Barba')	 : 1	 : 0.0003566969859104691
('Barba', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'Moonachie')	 : 1	 : 0.0002842524161455372
('Moonachie', ',')	 : 1	 : 0.0003566969859104691
(',', 'N.J.')	 : 4	 : 0.000655307994757536
('N.J.', ',')	 : 3	 : 0.00071301247771836
(',', 'maker')	 : 1	 : 0.0002621231979030144
('maker', 'of')	 : 7	 : 0.001422981145499822
('of', 'plastic')	 : 1	 : 0.0003056234718826406
('plastic', 'film')	 : 1	 : 0.0003566969859104691
('film', 'products')	 : 1	 : 0.0003566333808844508
('products', '.')	 : 2	 : 0.0005339028296849973
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'exchange')	 : 1	 : 0.0003473428273706148
('exchange', 'has')	 : 1	 : 0.0003559352197899982
('has', 'a')	 : 5	 : 0.001053370786516854
('a', 'board')	 : 6	 : 0.0011312217194570137
('board', 'meeting')	 : 10	 : 0.001841929002009377
('meeting', 'scheduled')	 : 2	 : 0.0005330490405117271
('scheduled', 'for')	 : 2	 : 0.0005347593582887701
('for', 'tomorrow')	 : 1	 : 0.0003471017007983339
('tomorrow', ',')	 : 3	 : 0.00071301247771836
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'it')	 : 5	 : 0.0009549578226961642
('it', 'is')	 : 6	 : 0.0012272089761570827
('is', 'expected')	 : 2	 : 0.0005178663904712584
('expected', 'that')	 : 1	 : 0.00035618878005342833
('that', 'some')	 : 2	 : 0.0005116834385127068
('some', 'public')	 : 1	 : 0.0003553028957186001
('public', 'announcement')	 : 1	 : 0.0003563156957063959
('announcement', 'could')	 : 1	 : 0.00035656979853806385
('could', 'be')	 : 3	 : 0.0007103534008169064
('be', 'made')	 : 2	 : 0.0005250262513125656
('made', 'after')	 : 1	 : 0.00035555555555555557
('after', 'that')	 : 1	 : 0.0003549875754348598
('that', '.')	 : 1	 : 0.00034112229234180454
('.', 'Giant')	 : 2	 : 0.0004542013626040878
('Giant', 'Group')	 : 4	 : 0.00089126559714795
('Group', 'is')	 : 2	 : 0.0005334281650071124
('is', 'led')	 : 2	 : 0.0005178663904712584
('led', 'by')	 : 8	 : 0.001601708489054992
('by', 'three')	 : 3	 : 0.0006967427277477791
('three', 'Rally')	 : 2	 : 0.0005332385353714896
('Rally', "'s")	 : 9	 : 0.0017809439002671415
("'s", 'directors')	 : 3	 : 0.0006676681689200467
('directors', ',')	 : 8	 : 0.001596877217885025
(',', 'Burt')	 : 4	 : 0.000655307994757536
('Burt', 'Sugarman')	 : 4	 : 0.00089126559714795
('Sugarman', ',')	 : 5	 : 0.0010693281055070398
(',', 'James')	 : 9	 : 0.001310615989515072
('James', 'M.')	 : 3	 : 0.0007102272727272727
('M.', 'Trotter')	 : 3	 : 0.0007108583614714769
('Trotter', 'III')	 : 3	 : 0.0007127583749109052
('III', 'and')	 : 3	 : 0.0007125044531528322
('and', 'William')	 : 3	 : 0.0006366385484641095
('William', 'E.')	 : 2	 : 0.0005325758920646192
('E.', 'Trotter')	 : 3	 : 0.0007113640405477503
('Trotter', 'II')	 : 3	 : 0.0007127583749109052
('II', ',')	 : 6	 : 0.0012473271560940842
(',', 'who')	 : 63	 : 0.008387942332896461
('who', 'earlier')	 : 1	 : 0.0003506311360448808
('earlier', 'this')	 : 4	 : 0.0008904719501335708
('this', 'month')	 : 4	 : 0.000877654906090925
('month', 'indicated')	 : 2	 : 0.0005338078291814947
('indicated', 'they')	 : 2	 : 0.0005346640527535199
('they', 'had')	 : 2	 : 0.0005312555339118116
('had', 'a')	 : 4	 : 0.0008843296781039972
('a', '42.5')	 : 2	 : 0.0004848093083387201
('42.5', '%')	 : 2	 : 0.0005349500713266762
('%', 'stake')	 : 12	 : 0.0022968197879858657
('stake', 'in')	 : 13	 : 0.002488888888888889
('in', 'Rally')	 : 2	 : 0.0005029337803855825
('Rally', "'s")	 : 9	 : 0.0017809439002671415
("'s", 'and')	 : 2	 : 0.000500751126690035
('and', 'planned')	 : 1	 : 0.0003183192742320548
('planned', 'to')	 : 5	 : 0.0010689470871191875
('to', 'seek')	 : 4	 : 0.0007993605115907274
('seek', 'a')	 : 4	 : 0.0008903133903133903
('a', 'majority')	 : 10	 : 0.001777634130575307
('majority', 'of')	 : 6	 : 0.001245995016019936
('of', 'seats')	 : 3	 : 0.0006112469437652812
('seats', 'on')	 : 5	 : 0.0010685663401602849
('on', 'Rally')	 : 3	 : 0.0006949270326615705
('Rally', "'s")	 : 9	 : 0.0017809439002671415
("'s", 'nine-member')	 : 3	 : 0.0006676681689200467
('nine-member', 'board')	 : 4	 : 0.00089126559714795
('board', '.')	 : 57	 : 0.00971198928332217
('.', 'In')	 : 38	 : 0.0059046177138531416
('In', 'a')	 : 11	 : 0.0021238938053097347
('a', 'statement')	 : 12	 : 0.0021008403361344537
('statement', ',')	 : 5	 : 0.0010672358591248667
(',', 'Ralph')	 : 2	 : 0.00039318479685452164
('Ralph', 'S.')	 : 1	 : 0.00035650623885918
('S.', 'Larsen')	 : 1	 : 0.0003559352197899982
('Larsen', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', ',')	 : 56	 : 0.009928583870405853
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'the')	 : 32	 : 0.005605571598437235
('the', 'company')	 : 84	 : 0.012080727686185332
('company', 'was')	 : 1	 : 0.0003476447071093343
('was', 'pleased')	 : 1	 : 0.0003459609064175748
('pleased', 'with')	 : 1	 : 0.0003566333808844508
('with', 'its')	 : 2	 : 0.0005249343832020997
('its', 'third-quarter')	 : 1	 : 0.0003487358326068004
('third-quarter', 'sales')	 : 1	 : 0.0003562522265764161
('sales', 'performance')	 : 2	 : 0.0005337128624799857
('performance', ',')	 : 2	 : 0.0005344735435595938
(',', '``')	 : 17	 : 0.00235910878112713
('``', 'especially')	 : 1	 : 0.00034164673727365904
('especially', 'in')	 : 2	 : 0.0005344735435595938
('in', 'light')	 : 1	 : 0.00033528918692372173
('light', 'of')	 : 1	 : 0.0003564427018356799
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'extremely')	 : 1	 : 0.0002842524161455372
('extremely', 'competitive')	 : 1	 : 0.0003566969859104691
('competitive', 'environment')	 : 1	 : 0.00035656979853806385
('environment', 'in')	 : 1	 : 0.0003566969859104691
('in', 'domestic')	 : 1	 : 0.00033528918692372173
('domestic', 'consumer')	 : 1	 : 0.0003566333808844508
('consumer', 'markets')	 : 1	 : 0.00035650623885918
('markets', 'and')	 : 1	 : 0.000355998576005696
('and', 'the')	 : 40	 : 0.006525545121757122
('the', 'negative')	 : 1	 : 0.0002842524161455372
('negative', 'impact')	 : 1	 : 0.00035656979853806385
('impact', 'of')	 : 2	 : 0.0005349500713266762
('of', 'unfavorable')	 : 1	 : 0.0003056234718826406
('unfavorable', 'exchange')	 : 1	 : 0.0003566969859104691
('exchange', 'rates')	 : 1	 : 0.0003559352197899982
('rates', 'this')	 : 1	 : 0.0003564427018356799
('this', 'quarter')	 : 1	 : 0.00035106196243637
('quarter', '.')	 : 3	 : 0.0007116171499733144
('.', "''")	 : 64	 : 0.00984102952308857
("''", 'Attracted')	 : 1	 : 0.0003420557550880794
('Attracted', 'by')	 : 1	 : 0.0003566969859104691
('by', 'low')	 : 1	 : 0.00034837136387388956
('low', 'prices')	 : 1	 : 0.0003563791874554526
('prices', 'and')	 : 2	 : 0.0005343783398646241
('and', 'encouraged')	 : 1	 : 0.0003183192742320548
('encouraged', 'by')	 : 1	 : 0.0003566969859104691
('by', 'New')	 : 1	 : 0.00034837136387388956
('New', 'York')	 : 26	 : 0.004788082993438553
('York', "'s")	 : 1	 : 0.0003550505947097461
("'s", 'performance')	 : 1	 : 0.00033383408446002337
('performance', ',')	 : 2	 : 0.0005344735435595938
(',', 'they')	 : 3	 : 0.0005242463958060288
('they', 'scooped')	 : 1	 : 0.0003541703559412077
('scooped', 'up')	 : 1	 : 0.0003566969859104691
('up', 'equities')	 : 1	 : 0.000354735721887194
('equities', 'across')	 : 1	 : 0.0003566969859104691
('across', 'the')	 : 13	 : 0.0024915465385299874
('the', 'board')	 : 144	 : 0.02060830017055145
('board', '.')	 : 57	 : 0.00971198928332217
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'current')	 : 1	 : 0.0003473428273706148
('current', 'president')	 : 1	 : 0.00035568202027387515
('president', 'and')	 : 45	 : 0.008075842696629214
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'operating')	 : 9	 : 0.001725327812284334
('operating', 'officer')	 : 9	 : 0.0017787264318747777
('officer', ',')	 : 56	 : 0.009928583870405853
(',', 'J.')	 : 1	 : 0.0002621231979030144
('J.', 'Odell')	 : 1	 : 0.0003551136363636364
('Odell', 'Johnson')	 : 1	 : 0.0003566969859104691
('Johnson', ',')	 : 2	 : 0.0005345687811831789
(',', 'was')	 : 51	 : 0.006815203145478375
('was', 'elected')	 : 19	 : 0.0034596090641757483
('elected', 'to')	 : 12	 : 0.002304555929799681
('to', 'the')	 : 85	 : 0.013749000799360511
('the', 'new')	 : 23	 : 0.0034110289937464467
('new', 'position')	 : 1	 : 0.0003526093088857546
('position', 'of')	 : 6	 : 0.0012451085023123443
('of', 'vice')	 : 5	 : 0.0009168704156479218
('vice', 'chairman')	 : 43	 : 0.007771105616389968
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'board')	 : 144	 : 0.02060830017055145
('board', '.')	 : 57	 : 0.00971198928332217
('.', 'William')	 : 8	 : 0.0013626040878122634
('William', 'S.')	 : 3	 : 0.0007101011894194922
('S.', 'Leavitt')	 : 2	 : 0.0005339028296849973
('Leavitt', ',')	 : 3	 : 0.0007131395970761277
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', ',')	 : 92	 : 0.015097402597402597
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'Mr.')	 : 12	 : 0.002208255478172244
('Mr.', 'Penn')	 : 2	 : 0.0005186721991701245
('Penn', ',')	 : 1	 : 0.0003566333808844508
(',', '58')	 : 4	 : 0.000655307994757536
('58', 'years')	 : 1	 : 0.0003563791874554526
('years', 'old')	 : 29	 : 0.005304101838755304
('old', ',')	 : 26	 : 0.0047872340425531915
(',', 'would')	 : 8	 : 0.001179554390563565
('would', 'continue')	 : 1	 : 0.00035137034434293746
('continue', 'as')	 : 6	 : 0.0012457732692649937
('as', 'a')	 : 25	 : 0.004517025712300208
('a', 'consultant')	 : 5	 : 0.0009696186166774402
('consultant', 'and')	 : 2	 : 0.0005344735435595938
('and', 'would')	 : 1	 : 0.0003183192742320548
('would', 'work')	 : 1	 : 0.00035137034434293746
('work', 'with')	 : 3	 : 0.000711997152011392
('with', 'the')	 : 25	 : 0.004549431321084864
('the', 'board')	 : 144	 : 0.02060830017055145
('board', 'in')	 : 7	 : 0.0013395847287340924
('in', 'selecting')	 : 1	 : 0.00033528918692372173
('selecting', 'a')	 : 1	 : 0.0003566969859104691
('a', 'successor')	 : 3	 : 0.0006464124111182935
('successor', '.')	 : 2	 : 0.0005347593582887701
('.', '``')	 : 93	 : 0.014231642694928085
('``', 'I')	 : 9	 : 0.0017082336863682953
('I', 'have')	 : 1	 : 0.00035568202027387515
('have', 'a')	 : 4	 : 0.0008827683615819209
('a', 'mountain')	 : 2	 : 0.0004848093083387201
('mountain', 'bike')	 : 2	 : 0.0005349500713266762
('bike', ',')	 : 3	 : 0.0007128854036713598
(',', 'yet')	 : 1	 : 0.0002621231979030144
('yet', 'as')	 : 1	 : 0.0003564427018356799
('as', 'a')	 : 25	 : 0.004517025712300208
('a', 'hiker')	 : 1	 : 0.0003232062055591467
('hiker', 'I')	 : 1	 : 0.0003566969859104691
('I', "'ve")	 : 1	 : 0.00035568202027387515
("'ve", 'been')	 : 1	 : 0.0003563156957063959
('been', 'run')	 : 1	 : 0.00035435861091424523
('run', 'off')	 : 1	 : 0.00035650623885918
('off', 'the')	 : 3	 : 0.0007116171499733144
('the', 'road')	 : 20	 : 0.002984650369528141
('road', 'by')	 : 2	 : 0.0005306916681408102
('by', 'kids')	 : 1	 : 0.00034837136387388956
('kids', 'careening')	 : 1	 : 0.0003566969859104691
('careening', 'down')	 : 1	 : 0.0003566969859104691
('down', 'a')	 : 1	 : 0.00035561877667140827
('a', 'fire')	 : 1	 : 0.0003232062055591467
('fire', 'trail')	 : 1	 : 0.0003566333808844508
('trail', 'on')	 : 1	 : 0.0003566333808844508
('on', 'them')	 : 1	 : 0.00034746351633078526
('them', ',')	 : 3	 : 0.0007122507122507123
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'says')	 : 37	 : 0.006499059346673508
('says', 'Gene')	 : 1	 : 0.00035323207347227127
('Gene', 'Coan')	 : 1	 : 0.0003566333808844508
('Coan', ',')	 : 1	 : 0.0003566969859104691
(',', 'an')	 : 13	 : 0.001834862385321101
('an', 'official')	 : 1	 : 0.00035180299032541777
('official', 'at')	 : 1	 : 0.0003563156957063959
('at', 'Sierra')	 : 1	 : 0.0003505082369435682
('Sierra', "'s")	 : 1	 : 0.0003566969859104691
("'s", 'headquarters')	 : 1	 : 0.00033383408446002337
('headquarters', 'in')	 : 1	 : 0.0003566969859104691
('in', 'San')	 : 1	 : 0.00033528918692372173
('San', 'Francisco')	 : 1	 : 0.0003566333808844508
('Francisco', ',')	 : 1	 : 0.0003566333808844508
(',', 'echoing')	 : 1	 : 0.0002621231979030144
('echoing', 'the')	 : 1	 : 0.0003566969859104691
('the', 'concerns')	 : 1	 : 0.0002842524161455372
('concerns', 'of')	 : 1	 : 0.0003566969859104691
('of', 'many')	 : 1	 : 0.0003056234718826406
('many', 'members')	 : 1	 : 0.00035568202027387515
('members', '.')	 : 16	 : 0.0030109812256464753
('.', 'Pilot')	 : 1	 : 0.0003028009084027252
('Pilot', 'union')	 : 1	 : 0.0003566969859104691
('union', 'Chairman')	 : 1	 : 0.00035612535612535614
('Chairman', 'Frederick')	 : 1	 : 0.0003558085749866572
('Frederick', 'C.')	 : 2	 : 0.0005344735435595938
('C.', 'Dubinsky')	 : 2	 : 0.0005342831700801424
('Dubinsky', 'said')	 : 1	 : 0.00035656979853806385
('said', 'advisers')	 : 1	 : 0.00033973161202649905
('advisers', 'to')	 : 1	 : 0.00035650623885918
('to', 'UAL')	 : 3	 : 0.000639488409272582
('UAL', 'management')	 : 1	 : 0.0003541703559412077
('management', 'and')	 : 2	 : 0.0005329543435779002
('and', 'the')	 : 40	 : 0.006525545121757122
('the', 'union')	 : 4	 : 0.0007106310403638431
('union', 'will')	 : 1	 : 0.00035612535612535614
('will', 'begin')	 : 2	 : 0.0005244755244755245
('begin', 'meeting')	 : 1	 : 0.00035650623885918
('meeting', 'in')	 : 2	 : 0.0005330490405117271
('in', 'New')	 : 9	 : 0.0016764459346186086
('New', 'York')	 : 26	 : 0.004788082993438553
('York', 'today')	 : 1	 : 0.0003550505947097461
('today', 'and')	 : 1	 : 0.00035618878005342833
('and', 'will')	 : 5	 : 0.0009549578226961642
('will', 'work')	 : 4	 : 0.0008741258741258741
('work', 'through')	 : 1	 : 0.000355998576005696
('through', 'the')	 : 9	 : 0.0017780938833570413
('the', 'weekend')	 : 5	 : 0.0008527572484366117
('weekend', 'to')	 : 3	 : 0.0007127583749109052
('to', 'devise')	 : 1	 : 0.000319744204636291
('devise', 'a')	 : 1	 : 0.0003566969859104691
('a', 'new')	 : 20	 : 0.003393665158371041
('new', 'proposal')	 : 1	 : 0.0003526093088857546
('proposal', 'to')	 : 2	 : 0.0005340929321701976
('to', 'present')	 : 2	 : 0.00047961630695443646
('present', 'to')	 : 1	 : 0.00035656979853806385
('to', 'UAL')	 : 3	 : 0.000639488409272582
('UAL', "'s")	 : 11	 : 0.0021250221356472463
("'s", 'board')	 : 48	 : 0.008178935069270572
('board', '``')	 : 2	 : 0.0005023442732752846
('``', 'at')	 : 1	 : 0.00034164673727365904
('at', 'the')	 : 28	 : 0.005082369435681739
('the', 'earliest')	 : 1	 : 0.0002842524161455372
('earliest', 'time')	 : 1	 : 0.0003566969859104691
('time', 'possible')	 : 1	 : 0.00035568202027387515
('possible', '.')	 : 1	 : 0.00035656979853806385
('.', "''")	 : 64	 : 0.00984102952308857
("''", 'Rep.')	 : 3	 : 0.0006841115101761587
('Rep.', 'Jamie')	 : 1	 : 0.00035561877667140827
('Jamie', 'Whitten')	 : 1	 : 0.0003566969859104691
('Whitten', 'of')	 : 1	 : 0.0003566333808844508
('of', 'Mississippi')	 : 1	 : 0.0003056234718826406
('Mississippi', 'and')	 : 1	 : 0.0003566969859104691
('and', 'chairman')	 : 15	 : 0.002546554193856438
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'House')	 : 1	 : 0.0003056234718826406
('House', 'Appropriations')	 : 1	 : 0.00035549235691432633
('Appropriations', 'turned')	 : 1	 : 0.00035650623885918
('turned', 'a')	 : 1	 : 0.00035650623885918
('a', '$')	 : 8	 : 0.0014544279250161603
('$', '20')	 : 1	 : 0.0003505082369435682
('20', 'million')	 : 1	 : 0.0003564427018356799
('million', 'Bush')	 : 1	 : 0.0003534817956875221
('Bush', 'request')	 : 1	 : 0.000355998576005696
('request', 'for')	 : 2	 : 0.0005349500713266762
('for', 'his')	 : 4	 : 0.0008677542519958348
('his', 'state')	 : 1	 : 0.00035174111853675694
('state', 'into')	 : 1	 : 0.0003559352197899982
('into', 'a')	 : 3	 : 0.0007107320540156361
('a', '$')	 : 8	 : 0.0014544279250161603
('$', '49.7')	 : 1	 : 0.0003505082369435682
('49.7', 'million')	 : 1	 : 0.0003566969859104691
('million', 'bequest')	 : 1	 : 0.0003534817956875221
('bequest', '.')	 : 1	 : 0.0003566969859104691
('.', 'Finally')	 : 1	 : 0.0003028009084027252
('Finally', ',')	 : 1	 : 0.0003566969859104691
(',', 'Mitsubishi')	 : 1	 : 0.0002621231979030144
('Mitsubishi', 'Estate')	 : 1	 : 0.0003566969859104691
('Estate', 'has')	 : 1	 : 0.00035656979853806385
('has', 'no')	 : 2	 : 0.000526685393258427
('no', 'plans')	 : 2	 : 0.0005333333333333334
('plans', 'to')	 : 10	 : 0.0019562511115063133
('to', 'interfere')	 : 1	 : 0.000319744204636291
('interfere', 'with')	 : 1	 : 0.0003566969859104691
('with', 'Rockefeller')	 : 1	 : 0.00034995625546806647
('Rockefeller', "'s")	 : 1	 : 0.0003566333808844508
("'s", 'management')	 : 3	 : 0.0006676681689200467
('management', 'beyond')	 : 1	 : 0.0003553028957186001
('beyond', 'taking')	 : 1	 : 0.00035656979853806385
('taking', 'a')	 : 1	 : 0.0003563156957063959
('a', 'place')	 : 1	 : 0.0003232062055591467
('place', 'on')	 : 1	 : 0.00035656979853806385
('on', 'the')	 : 65	 : 0.011466296038915913
('the', 'board')	 : 144	 : 0.02060830017055145
('board', '.')	 : 57	 : 0.00971198928332217
('.', 'Mr.')	 : 67	 : 0.010295230885692657
('Mr.', 'Stern')	 : 1	 : 0.00034578146611341634
('Stern', 'was')	 : 1	 : 0.0003566969859104691
('was', 'chairman')	 : 6	 : 0.0012108631724615118
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', 'of')	 : 46	 : 0.008186727051036406
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'New')	 : 9	 : 0.0014212620807276862
('New', 'York')	 : 26	 : 0.004788082993438553
('York', 'State')	 : 1	 : 0.0003550505947097461
('State', 'Urban')	 : 1	 : 0.0003566333808844508
('Urban', 'Development')	 : 2	 : 0.0005348546978070957
('Development', 'Corp.')	 : 1	 : 0.00035656979853806385
('Corp.', ',')	 : 37	 : 0.006706671373102718
(',', '1983-85')	 : 1	 : 0.0002621231979030144
('1983-85', '.')	 : 1	 : 0.0003566969859104691
('.', 'Mr.')	 : 67	 : 0.010295230885692657
('Mr.', 'Fournier')	 : 1	 : 0.00034578146611341634
('Fournier', 'said')	 : 2	 : 0.0005349500713266762
